Country,CPI_Rank_2015,CPI_Score_2015,RSF_Rank_2016,RSF_Abuse_2016,RSF_Underlying_Situation_Score_2016,RSF_Global_Score_2016,,,,
Afghanistan,166,11,120,55.76,33.25,37.75,,,,
Albania,95,35,82,23.03,29.92,29.92,,,,
Algeria,95,35,129,29.44,41.69,41.69,,,,
Andorra,NA,NA,33,0,19.87,19.87,,,,
Angola,163,15,123,16.09,39.89,39.89,,,,
Argentina,83,37,54,13.86,25.09,25.09,,,,
Armenia,95,35,74,33.67,27.57,28.79,,,,
Australia,13,79,25,6.93,17.84,17.84,,,,
Austria,16,76,11,0,13.18,13.18,,,,
Azerbaijan,119,29,163,65.37,56.02,57.89,,,,
Bahrain,50,51,162,59.84,53.61,54.86,,,,
Bangladesh,66,42,144,57.84,42.96,45.94,,,,
Belarus,107,32,157,28.9,54.32,54.32,,,,
Belgium,15,77,13,13.86,14.18,14.18,,,,
Belize,NA,NA,36,0,20.61,20.61,,,,
Benin,83,37,78,0,28.97,28.97,,,,
Bhutan,27,65,94,0,30.73,30.73,,,,
Bolivia,99,34,97,21.97,31.78,31.78,,,,
Bosnia-Herzegovina,76,38,68,17.92,28.45,28.45,,,,
Botswana,28,63,43,0,22.91,22.91,,,,
Brazil,76,38,104,59.96,25.78,32.62,,,,
Brunei,NA,NA,155,0,53.85,53.85,,,,
Bulgaria,76,38,113,16.09,34.46,34.46,,,,
Burkina Faso,76,38,42,27.08,21.37,22.66,,,,
Burma,139,25,143,50.5,44.23,45.48,,,,
Burundi,150,21,156,57.59,53.23,54.1,,,,
Cambodia,95,35,128,16.09,40.7,40.7,,,,
Cameroon,130,27,126,23.98,40.53,40.53,,,,
Canada,9,83,18,0,15.26,15.26,,,,
Cape Verde,40,55,32,0,19.82,19.82,,,,
Central African Republic,145,24,110,23.03,33.6,33.6,,,,
Chad,147,22,127,17.92,40.59,40.59,,,,
Chile,23,70,31,0,19.23,19.23,,,,
China,83,37,176,90.44,78.59,80.96,,,,
Colombia,83,37,134,56.97,40.9,44.11,,,,
Comores,136,26,50,0,24.33,24.33,,,,
Costa Rica,40,55,6,0,11.1,11.1,,,,
Croatia,50,51,63,37.38,25.54,27.91,,,,
Cuba,56,47,171,47.1,70.23,70.23,,,,
Cyprus,32,61,27,0,18.26,18.26,,,,
Czech Republic,37,56,21,0,16.66,16.66,,,,
Denmark,1,91,4,0,8.89,8.89,,,,
Djibouti,99,34,172,0,70.9,70.9,,,,
